patient_id,admission_date,species,common_name,found_city,found_county,status,final_date
2022-0701,7/5/22,SCCA,Eastern gray squirrel,,Avery,R,7/16/22
2022-0702,7/6/22,BAWW,Black and white warbler,Lenoir,Caldwell,R,8/7/22
2022-0703,7/6/22,ODVI,White-tailed deer,Boone,Watauga,T,7/6/22
2022-0704,7/6/22,CHSW,Chimney swift,Banner Elk,Avery,E,7/17/22
2022-0705,7/6/22,DIVI,Virginia opossum,,NA,D,7/8/22
2022-0706,7/6/22,DIVI,Virginia opossum,,NA,D,7/7/22
2022-0707,7/6/22,DIVI,Virginia opossum,,NA,R,8/28/22
2022-0708,7/6/22,NOMO,Northern mockingbird,,NA,R,7/21/22
2022-0709,7/6/22,NOMO,Northern mockingbird,,NA,R,7/21/22
2022-0710,7/7/22,SYFL,Eastern cottontail,Banner Elk,Avery,D24,7/8/22
2022-0711,7/7/22,DIVI,Virginia opossum,Banner Elk,Avery,E24,7/7/22
2022-0712,7/7/22,DIVI,Virginia opossum,Banner Elk,Avery,E24,7/7/22
2022-0713,7/7/22,DIVI,Virginia opossum,Banner Elk,Avery,E24,7/7/22
2022-0714,7/7/22,DIVI,Virginia opossum,Banner Elk,Avery,E24,7/7/22
2022-0715,7/7/22,DIVI,Virginia opossum,Banner Elk,Avery,E24,7/7/22
2022-0716,7/7/22,DIVI,Virginia opossum,Banner Elk,Avery,E24,7/7/22
2022-0717,7/7/22,DIVI,Virginia opossum,Banner Elk,Avery,E24,7/7/22
2022-0718,7/7/22,AMRO,American robin,banner elk,Avery,D24,7/8/22
2022-0719,7/7/22,ODVI,White-tailed deer,Crossnore,Avery,D24,7/7/22
2022-0720,7/7/22,DIVI,Virginia opossum,,NA,DOA,7/7/22
2022-0721,7/7/22,ODVI,White-tailed deer,apen,NA,E,7/9/22
2022-0722,7/7/22,AMRO,American robin,Sugar Grove,Watauga,EOA,7/7/22
2022-0723,7/7/22,AMRO,American robin,Valdese,Burke,D24,7/7/22
2022-0724,7/7/22,BRTH,Brown thrasher,Valdese,Burke,E,7/14/22
2022-0725,7/7/22,BRTH,Brown thrasher,Valdese,Burke,E,7/16/22
2022-0726,7/7/22,SOSP,Song sparrow,Sugar Grove,Watauga,D,7/9/22
